file	scenario	theme	clientWidthDip	dpi	fixture
40-decision-sharing-violation__dark__480dip__fr-FR__display1__144dpi.png	40-decision-sharing-violation	dark	480	144	production-renderer-synthetic-presentation
41-decision-access-denied__dark__480dip__fr-FR__display1__144dpi.png	41-decision-access-denied	dark	480	144	production-renderer-synthetic-presentation
42-decision-disk-full__dark__480dip__fr-FR__display1__144dpi.png	42-decision-disk-full	dark	480	144	production-renderer-synthetic-presentation
43-decision-path-too-long__dark__480dip__fr-FR__display1__144dpi.png	43-decision-path-too-long	dark	480	144	production-renderer-synthetic-presentation
44-decision-recycle-failed__dark__480dip__fr-FR__display1__144dpi.png	44-decision-recycle-failed	dark	480	144	production-renderer-synthetic-presentation
45-decision-insufficient-space__dark__480dip__fr-FR__display1__144dpi.png	45-decision-insufficient-space	dark	480	144	production-renderer-synthetic-presentation
46-decision-space-unknown__dark__480dip__fr-FR__display1__144dpi.png	46-decision-space-unknown	dark	480	144	production-renderer-synthetic-presentation
47-decision-efs-plaintext__dark__480dip__fr-FR__display1__144dpi.png	47-decision-efs-plaintext	dark	480	144	production-renderer-synthetic-presentation
48-decision-sparse-inflation__dark__480dip__fr-FR__display1__144dpi.png	48-decision-sparse-inflation	dark	480	144	production-renderer-synthetic-presentation
49-decision-placeholder-hydration__dark__480dip__fr-FR__display1__144dpi.png	49-decision-placeholder-hydration	dark	480	144	production-renderer-synthetic-presentation
50-decision-metadata-loss__dark__480dip__fr-FR__display1__144dpi.png	50-decision-metadata-loss	dark	480	144	production-renderer-synthetic-presentation
51-decision-network-offline__dark__480dip__fr-FR__display1__144dpi.png	51-decision-network-offline	dark	480	144	production-renderer-synthetic-presentation
52-decision-unsupported-reparse__dark__480dip__fr-FR__display1__144dpi.png	52-decision-unsupported-reparse	dark	480	144	production-renderer-synthetic-presentation
53-decision-same-host-overlap__dark__480dip__fr-FR__display1__144dpi.png	53-decision-same-host-overlap	dark	480	144	production-renderer-synthetic-presentation
54-decision-same-host-live-output__dark__480dip__fr-FR__display1__144dpi.png	54-decision-same-host-live-output	dark	480	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__dark__480dip__fr-FR__display1__144dpi.png	55-decision-permanent-delete	dark	480	144	production-renderer-synthetic-presentation
56-decision-unknown-error__dark__480dip__fr-FR__display1__144dpi.png	56-decision-unknown-error	dark	480	144	production-renderer-synthetic-presentation
57-decision-metadata-loading__dark__480dip__fr-FR__display1__144dpi.png	57-decision-metadata-loading	dark	480	144	production-renderer-synthetic-presentation
58-decision-replacement-withheld__dark__480dip__fr-FR__display1__144dpi.png	58-decision-replacement-withheld	dark	480	144	production-renderer-synthetic-presentation
59-decision-retry-failed__dark__480dip__fr-FR__display1__144dpi.png	59-decision-retry-failed	dark	480	144	production-renderer-synthetic-presentation
60-decision-apply-to-all-checked__dark__480dip__fr-FR__display1__144dpi.png	60-decision-apply-to-all-checked	dark	480	144	production-renderer-synthetic-presentation
61-compare-scanning__dark__480dip__fr-FR__display1__144dpi.png	61-compare-scanning	dark	480	144	production-renderer-synthetic-presentation
62-change-case-enumerating__dark__480dip__fr-FR__display1__144dpi.png	62-change-case-enumerating	dark	480	144	production-renderer-synthetic-presentation
63-change-attributes-applying__dark__480dip__fr-FR__display1__144dpi.png	63-change-attributes-applying	dark	480	144	production-renderer-synthetic-presentation
64-file-list-rendering__dark__480dip__fr-FR__display1__144dpi.png	64-file-list-rendering	dark	480	144	production-renderer-synthetic-presentation
65-verification-failed__dark__480dip__fr-FR__display1__144dpi.png	65-verification-failed	dark	480	144	production-renderer-synthetic-presentation
66-verification-unavailable__dark__480dip__fr-FR__display1__144dpi.png	66-verification-unavailable	dark	480	144	production-renderer-synthetic-presentation
67-verification-canceled__dark__480dip__fr-FR__display1__144dpi.png	67-verification-canceled	dark	480	144	production-renderer-synthetic-presentation
68-zero-byte-items__dark__480dip__fr-FR__display1__144dpi.png	68-zero-byte-items	dark	480	144	production-renderer-synthetic-presentation
69-all-items-skipped__dark__480dip__fr-FR__display1__144dpi.png	69-all-items-skipped	dark	480	144	production-renderer-synthetic-presentation
70-queue-paused__dark__480dip__fr-FR__display1__144dpi.png	70-queue-paused	dark	480	144	production-renderer-synthetic-presentation
71-waiting-for-other-task__dark__480dip__fr-FR__display1__144dpi.png	71-waiting-for-other-task	dark	480	144	production-renderer-synthetic-presentation
72-automatic-concurrency__dark__480dip__fr-FR__display1__144dpi.png	72-automatic-concurrency	dark	480	144	production-renderer-synthetic-presentation
73-compact-density__dark__480dip__fr-FR__display1__144dpi.png	73-compact-density	dark	480	144	production-renderer-synthetic-presentation
74-sixteen-streams__dark__480dip__fr-FR__display1__144dpi.png	74-sixteen-streams	dark	480	144	production-renderer-synthetic-presentation
75-compare-content__dark__480dip__fr-FR__display1__144dpi.png	75-compare-content	dark	480	144	production-renderer-synthetic-presentation
76-compare-scan-and-content__dark__480dip__fr-FR__display1__144dpi.png	76-compare-scan-and-content	dark	480	144	production-renderer-synthetic-presentation
77-change-case-renaming__dark__480dip__fr-FR__display1__144dpi.png	77-change-case-renaming	dark	480	144	production-renderer-synthetic-presentation
78-change-attributes-enumerating__dark__480dip__fr-FR__display1__144dpi.png	78-change-attributes-enumerating	dark	480	144	production-renderer-synthetic-presentation
79-file-list-collecting__dark__480dip__fr-FR__display1__144dpi.png	79-file-list-collecting	dark	480	144	production-renderer-synthetic-presentation
80-file-list-writing__dark__480dip__fr-FR__display1__144dpi.png	80-file-list-writing	dark	480	144	production-renderer-synthetic-presentation
81-compare-done__dark__480dip__fr-FR__display1__144dpi.png	81-compare-done	dark	480	144	production-renderer-synthetic-presentation
82-compare-failed__dark__480dip__fr-FR__display1__144dpi.png	82-compare-failed	dark	480	144	production-renderer-synthetic-presentation
83-compare-canceled__dark__480dip__fr-FR__display1__144dpi.png	83-compare-canceled	dark	480	144	production-renderer-synthetic-presentation
84-change-case-done__dark__480dip__fr-FR__display1__144dpi.png	84-change-case-done	dark	480	144	production-renderer-synthetic-presentation
85-change-case-failed__dark__480dip__fr-FR__display1__144dpi.png	85-change-case-failed	dark	480	144	production-renderer-synthetic-presentation
86-change-case-canceled__dark__480dip__fr-FR__display1__144dpi.png	86-change-case-canceled	dark	480	144	production-renderer-synthetic-presentation
87-change-attributes-done__dark__480dip__fr-FR__display1__144dpi.png	87-change-attributes-done	dark	480	144	production-renderer-synthetic-presentation
88-change-attributes-failed__dark__480dip__fr-FR__display1__144dpi.png	88-change-attributes-failed	dark	480	144	production-renderer-synthetic-presentation
89-change-attributes-canceled__dark__480dip__fr-FR__display1__144dpi.png	89-change-attributes-canceled	dark	480	144	production-renderer-synthetic-presentation
90-file-list-done__dark__480dip__fr-FR__display1__144dpi.png	90-file-list-done	dark	480	144	production-renderer-synthetic-presentation
91-file-list-failed__dark__480dip__fr-FR__display1__144dpi.png	91-file-list-failed	dark	480	144	production-renderer-synthetic-presentation
92-file-list-canceled__dark__480dip__fr-FR__display1__144dpi.png	92-file-list-canceled	dark	480	144	production-renderer-synthetic-presentation
93-menu-options__dark__480dip__fr-FR__display1__144dpi.png	93-menu-options	dark	480	144	production-renderer-synthetic-presentation
93-menu-options__dark__480dip__fr-FR__display1__144dpi__flyout.png	93-menu-options	dark	480	144	production-menu-synthetic-owner
94-menu-queue__dark__480dip__fr-FR__display1__144dpi.png	94-menu-queue	dark	480	144	production-renderer-synthetic-presentation
94-menu-queue__dark__480dip__fr-FR__display1__144dpi__flyout.png	94-menu-queue	dark	480	144	production-menu-synthetic-owner
95-menu-completed-more__dark__480dip__fr-FR__display1__144dpi.png	95-menu-completed-more	dark	480	144	production-renderer-synthetic-presentation
95-menu-completed-more__dark__480dip__fr-FR__display1__144dpi__flyout.png	95-menu-completed-more	dark	480	144	production-menu-synthetic-owner
96-menu-speed__dark__480dip__fr-FR__display1__144dpi.png	96-menu-speed	dark	480	144	production-renderer-synthetic-presentation
96-menu-speed__dark__480dip__fr-FR__display1__144dpi__flyout.png	96-menu-speed	dark	480	144	production-menu-synthetic-owner
97-menu-conflict-more__dark__480dip__fr-FR__display1__144dpi.png	97-menu-conflict-more	dark	480	144	production-renderer-synthetic-presentation
97-menu-conflict-more__dark__480dip__fr-FR__display1__144dpi__flyout.png	97-menu-conflict-more	dark	480	144	production-menu-synthetic-owner
98-renderer-failure__dark__480dip__fr-FR__display1__144dpi.png	98-renderer-failure	dark	480	144	production-renderer-synthetic-presentation
107-destination-history__dark__480dip__fr-FR__display1__144dpi.png	107-destination-history	dark	480	144	production-renderer-synthetic-presentation
107-destination-history__dark__480dip__fr-FR__display1__144dpi__flyout.png	107-destination-history	dark	480	144	production-menu-synthetic-owner
108-decision-long-french-paths__dark__480dip__fr-FR__display1__144dpi.png	108-decision-long-french-paths	dark	480	144	production-renderer-synthetic-presentation
108-decision-long-french-paths__dark__760dip__fr-FR__display1__144dpi.png	108-decision-long-french-paths	dark	760	144	production-renderer-synthetic-presentation
114-recovery-known-source-menu__dark__480dip__fr-FR__display1__144dpi.png	114-recovery-known-source-menu	dark	480	144	production-renderer-synthetic-presentation
114-recovery-known-source-menu__dark__480dip__fr-FR__display1__144dpi__flyout.png	114-recovery-known-source-menu	dark	480	144	production-menu-synthetic-owner
115-recovery-unknown-source-menu__dark__480dip__fr-FR__display1__144dpi.png	115-recovery-unknown-source-menu	dark	480	144	production-renderer-synthetic-presentation
115-recovery-unknown-source-menu__dark__480dip__fr-FR__display1__144dpi__flyout.png	115-recovery-unknown-source-menu	dark	480	144	production-menu-synthetic-owner
